movie_id,title,genre,ratings
1,Nuvve Kavali,Romance|Drama,8
2,Badri,Action|Romance,7.2
3,Kushi,Romance|Drama,8.1
4,Nuvvu Naaku Nachav,Romance|Comedy,8.8
5,Manmadhudu,Romance|Comedy,8.3
6,Okkadu,Action|Drama,8
7,Varsham,Action|Romance,7.8
8,Arya,Romance|Drama,7.8
9,Anand,Drama|Romance,8
10,Chatrapathi,Action|Drama,7.6
11,Pokiri,Action|Crime,8
12,Bommarillu,Family|Romance,8.2
13,Happy Days,Drama,7.9
14,Desamuduru,Action|Romance,7.1
15,Yamadonga,Fantasy|Comedy,7.5
16,Jalsa,Action|Comedy,7.9
17,Parugu,Romance|Drama,7.4
18,Kick,Action|Comedy,7.9
19,Magadheera,Action|Fantasy,8.1
20,Leader,Political|Drama,8
21,Ye Maaya Chesave,Romance|Drama,7.7
22,Maryada Ramanna,Comedy|Drama,8.1
23,Vedam,Drama,8.2
24,Brindavanam,Family|Drama,7.7
25,Mr. Perfect,Romance|Family,7.5
26,Dookudu,Action|Comedy,7.8
27,Businessman,Action|Crime,7.4
28,Eega,Fantasy|Drama,7.7
29,Gabbar Singh,Action|Comedy,7.8
30,Julayi,Action|Comedy,7.6
31,Seethamma Vakitlo Sirimalle Chettu,Family|Drama,7.8
32,Attarintiki Daredi,Family|Comedy,7.7
33,Race Gurram,Action|Comedy,7.8
34,Manam,Drama|Fantasy,8
35,Run Raja Run,Comedy|Thriller,7.5
36,Oohalu Gusagusalade,Romance|Comedy,7.6
37,Temper,Action|Crime,7.5
38,Srimanthudu,Drama,7.6
39,Bhale Bhale Magadivoy,Comedy|Romance,7.8
40,Kshanam,Thriller|Mystery,8.2
41,Nannaku Prematho,Action|Thriller,7.7
42,Oopiri,Drama,8
43,Pellichoopulu,Romance|Comedy,8.2
44,Dhruva,Action|Thriller,7.8
45,Gautamiputra Satakarni,Historical|Action,7.4
46,Fidaa,Romance|Drama,7.4
47,Arjun Reddy,Romance|Drama,7.9
48,Mahanati,Biography|Drama,8.4
49,Rangasthalam,Drama|Action,8.2
50,Geetha Govindam,Romance|Comedy,7.8
51,Jersey,Sports|Drama,8.5
52,Majili,Romance|Drama,7.7
53,Brochevarevarura,Crime|Comedy,8
54,Oh Baby,Fantasy|Comedy,7.3
55,Agent Sai Srinivasa Athreya,Mystery|Comedy,8.3
56,Ala Vaikunthapurramuloo,Family|Comedy,7.3
57,Sarileru Neekevvaru,Action|Comedy,5.8
58,Bheeshma,Romance|Comedy,6.6
59,Vakeel Saab,Drama|Action,7
60,Jathi Ratnalu,Comedy,7.3
61,Uppena,Romance|Drama,6.7
62,Love Story,Romance|Drama,6.8
63,Akhanda,Action,6.8
64,Shyam Singha Roy,Drama|Fantasy,7.6
65,Pushpa: The Rise,Action|Crime,7.9
66,RRR,Action|Drama,7.8
67,Major,Biography|Action,8.1
68,Sita Ramam,Romance|Drama,8.5
69,Bimbisara,Fantasy|Action,6.7
70,Karthikeya 2,Mystery|Adventure,7.9
71,HIT: The Second Case,Crime|Thriller,7.1
72,Dasara,Action|Drama,6.8
73,Virupaksha,Mystery|Thriller,7.2
74,Balagam,Drama,8
75,Baby,Romance|Drama,6.6
76,Hi Nanna,Romance|Drama,8.3
77,Salaar,Action|Thriller,6.7
78,HanuMan,Superhero|Fantasy,8
79,Tillu Square,Comedy,7
80,Gaami,Adventure|Drama,6.4
81,Family Star,Family|Drama,7.7
82,Kalki 2898 AD,Science Fiction|Action,7
83,Mathu Vadalara,Crime|Comedy,7.2
84,Mathu Vadalara 2,Crime|Comedy,6.5
85,Raja Raja Chora,Comedy|Crime,7.8
86,Colour Photo,Romance|Drama,8.1
87,Middle Class Melodies,Comedy|Drama,7.4
88,Cinema Bandi,Comedy|Drama,8
89,Care of Kancharapalem,Drama,7.8
90,Ee Nagaraniki Emaindhi,Comedy|Drama,7.3
91,Krishna and His Leela,Romance|Drama,7.2
92,Sammohanam,Romance|Drama,7.3
93,Chi La Sow,Romance|Comedy,7.7
94,Goodachari,Spy|Thriller,7.5
95,Karthikeya,Mystery|Adventure,7.8
